Complaint,Category
Water problem in hostel,Hostel
Room cleaning is bad,Hostel
Food quality is poor,Hostel
No electricity in hostel,Hostel
Exam timetable is confusing,Academics
Faculty not completing syllabus,Academics
Marks not updated,Academics
Result is delayed,Academics
Bus is always late,Transport
No bus for evening students,Transport
Bus is overcrowded,Transport
Scholarship not received,Administration
ID card not issued,Administration
Office staff not responding,Administration
Fee receipt not generated,Administration
